bl,,fitcbsa alone,,fbsaalone2,,fbsaalone3,,ph5 1,,ph5 2,,pH 5 3,,pH 6 1,,pH 6 2,,pH 6 3,,pH 7 1,,pH 7 2,,pH 7 3,,pH 8 1,,pH 8 2,,pH 8 3,,pH 9 1,,pH 9 2,,pH 9 3,,pH 10 1,,pH 10 2,,pH 10 3,,pH 11 1,,pH 11 2,,pH 11 3,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
518.9299927,-2.232322931,518.9299927,135.5572052,518.9299927,132.0717316,518.9299927,129.4141235,518.9299927,1.02861762,518.9299927,0.937640667,518.9299927,2.637361765,518.9299927,5.884906769,518.9299927,14.05546474,518.9299927,12.87386227,518.9299927,24.61756516,518.9299927,12.83932114,518.9299927,14.44080257,518.9299927,16.17942429,518.9299927,20.74938774,518.9299927,27.71699905,518.9299927,60.64920807,518.9299927,32.004673,518.9299927,97.98090363,518.9299927,378.803009,518.9299927,505.1260986,518.9299927,476.2806091,518.9299927,619.7398071,518.9299927,634.9770508,518.9299927,577.2913818,
520,-2.291255474,520,132.1361694,520,130.9287415,520,131.9394073,520,0.9499666691,520,1.124551296,520,2.587511778,520,6.098825455,520,13.21950722,520,12.45376587,520,25.18455124,520,12.66514683,520,14.68874264,520,15.84099865,520,20.6985302,520,27.16549873,520,59.76094437,520,31.83320236,520,97.89064026,520,381.8417969,520,513.1749878,520,476.5088196,520,629.2521973,520,637.5834351,520,582.0356445,
521.039978,-2.366816759,521.039978,133.3017273,521.039978,130.5832062,521.039978,130.9264374,521.039978,1.02519846,521.039978,0.8812465668,521.039978,2.615677118,521.039978,6.047673225,521.039978,13.04683018,521.039978,12.30494785,521.039978,24.72001266,521.039978,12.30583858,521.039978,13.97515774,521.039978,15.74304104,521.039978,20.19889832,521.039978,26.75000572,521.039978,59.00646591,521.039978,30.88144302,521.039978,96.80010986,521.039978,380.7351379,521.039978,506.6687927,521.039978,478.0514221,521.039978,622.7037354,521.039978,622.3480835,521.039978,593.6714478,
521.9400024,-2.319678783,521.9400024,131.9911652,521.9400024,129.8480225,521.9400024,130.0746918,521.9400024,0.9749751091,521.9400024,1.008413076,521.9400024,2.663844347,521.9400024,6.278082848,521.9400024,13.67878437,521.9400024,12.47207928,521.9400024,24.44751167,521.9400024,12.19065857,521.9400024,13.77374935,521.9400024,15.41687679,521.9400024,20.7593956,521.9400024,26.99742126,521.9400024,60.36509705,521.9400024,30.65977859,521.9400024,98.09774017,521.9400024,379.9943237,521.9400024,513.6716919,521.9400024,473.9386597,521.9400024,611.8224487,521.9400024,637.6700439,521.9400024,589.2735596,
522.9799805,-2.357726097,522.9799805,130.8452148,522.9799805,125.1227417,522.9799805,128.2980804,522.9799805,1.051587105,522.9799805,1.015650034,522.9799805,2.495726824,522.9799805,5.896913528,522.9799805,13.08743,522.9799805,11.68519783,522.9799805,23.70362473,522.9799805,11.79143715,522.9799805,13.78119564,522.9799805,15.37858105,522.9799805,20.01739311,522.9799805,26.45524025,522.9799805,57.70725632,522.9799805,30.68811417,522.9799805,95.93392944,522.9799805,374.564209,522.9799805,508.155426,522.9799805,461.8830566,522.9799805,617.5715942,522.9799805,634.3984375,522.9799805,577.9530029,
524.0200195,-2.338217974,524.0200195,127.3170166,524.0200195,127.6960449,524.0200195,126.5821381,524.0200195,0.9436299801,524.0200195,0.9643340111,524.0200195,2.09705615,524.0200195,5.645253181,524.0200195,12.72050095,524.0200195,11.37182617,524.0200195,23.50701141,524.0200195,11.67588711,524.0200195,13.25972652,524.0200195,14.85419941,524.0200195,19.13356781,524.0200195,25.82011032,524.0200195,56.27086639,524.0200195,29.72712326,524.0200195,95.63217926,524.0200195,369.2996521,524.0200195,501.2162781,524.0200195,465.2745972,524.0200195,606.7886963,524.0200195,615.1057129,524.0200195,576.4528809,
525.0700073,-2.3479743,525.0700073,126.0265656,525.0700073,124.580864,525.0700073,122.540062,525.0700073,0.9825155735,525.0700073,0.7907381058,525.0700073,2.309625864,525.0700073,5.556998253,525.0700073,12.44899178,525.0700073,11.36909199,525.0700073,22.7783432,525.0700073,11.2245779,525.0700073,13.17346764,525.0700073,14.20474911,525.0700073,18.7550602,525.0700073,25.56295586,525.0700073,55.89718628,525.0700073,29.68914795,525.0700073,91.58107758,525.0700073,360.1731873,525.0700073,493.9238281,525.0700073,454.6486816,525.0700073,586.9550171,525.0700073,606.2099609,525.0700073,558.9031982,
525.9699707,-2.31980443,525.9699707,124.5678101,525.9699707,121.2661591,525.9699707,118.8276443,525.9699707,0.9122829437,525.9699707,0.9212331772,525.9699707,2.151391268,525.9699707,5.512033463,525.9699707,12.12050629,525.9699707,10.87489319,525.9699707,21.45553589,525.9699707,10.72783375,525.9699707,12.36268806,525.9699707,14.35312748,525.9699707,18.28386497,525.9699707,24.8589859,525.9699707,54.08541107,525.9699707,29.05416107,525.9699707,89.91825867,525.9699707,352.1607666,525.9699707,477.8234863,525.9699707,440.0915222,525.9699707,580.3577881,525.9699707,601.2277222,525.9699707,544.4421997,
527.0100098,-2.320219278,527.0100098,120.469841,527.0100098,119.0158844,527.0100098,118.0058365,527.0100098,0.8034980297,527.0100098,0.8432927132,527.0100098,2.088652849,527.0100098,4.950271606,527.0100098,11.96992016,527.0100098,10.69815922,527.0100098,21.48739052,527.0100098,10.83353615,527.0100098,11.70704174,527.0100098,13.73871326,527.0100098,18.13075447,527.0100098,23.03982544,527.0100098,52.37746811,527.0100098,27.96961975,527.0100098,88.86486816,527.0100098,347.9859314,527.0100098,479.077301,527.0100098,437.0199585,527.0100098,562.3765259,527.0100098,580.9421387,527.0100098,529.9381714,
528.0499878,-2.338806152,528.0499878,115.5168381,528.0499878,115.6121521,528.0499878,114.0366745,528.0499878,0.5092971325,528.0499878,0.7079350948,528.0499878,2.076438665,528.0499878,4.889443398,528.0499878,11.27828026,528.0499878,10.24483204,528.0499878,20.57813835,528.0499878,10.32549286,528.0499878,11.60890007,528.0499878,13.50300694,528.0499878,17.25739861,528.0499878,23.18839073,528.0499878,51.91038132,528.0499878,26.64088821,528.0499878,86.09617615,528.0499878,337.3329773,528.0499878,456.4478149,528.0499878,417.4732971,528.0499878,545.6535034,528.0499878,564.8656616,528.0499878,517.1775513,
